"","Ages 50-64","Ages 50-64","Ages 50-64","Ages &lt;15","Ages &lt;15","Ages &lt;15","Ages 15-39","Ages 15-39","Ages 15-39","Ages 65-74","Ages 65-74","Ages 65-74"
"Time Since Diagnosis","Relative Survival (%)","Lower 95% C.I.","Upper 95% C.I.","Relative Survival (%)","Lower 95% C.I.","Upper 95% C.I.","Relative Survival (%)","Lower 95% C.I.","Upper 95% C.I.","Relative Survival (%)","Lower 95% C.I.","Upper 95% C.I."
"Diagnosis","100.0","^","^","100.0","^","^","100.0","^","^","100.0","^","^"
"1 year","98.4","98.3","98.5","99.7","97.6","100.0","99.5","99.2","99.7","96.6","96.4","96.8"
"2 years","97.5","97.4","97.7","99.7","97.6","100.0","98.9","98.5","99.1","95.4","95.2","95.7"
"3 years","96.4","96.2","96.6","99.7","97.6","100.0","98.0","97.6","98.4","94.1","93.8","94.4"
"4 years","95.3","95.0","95.5","99.7","97.6","100.0","97.3","96.8","97.7","92.7","92.3","93.1"
"5 years","94.1","93.8","94.4","99.1","95.6","99.8","96.5","95.9","97.0","91.1","90.7","91.5"
"6 years","92.9","92.6","93.3","99.1","95.6","99.8","96.2","95.5","96.7","89.7","89.2","90.1"
"7 years","92.0","91.6","92.3","99.1","95.6","99.8","95.5","94.7","96.1","88.3","87.8","88.8"
"8 years","91.0","90.6","91.4","99.1","95.6","99.8","94.9","94.0","95.6","87.0","86.4","87.6"
"9 years","90.3","89.8","90.7","99.1","95.6","99.8","94.6","93.6","95.4","85.9","85.2","86.5"
"10 years","89.6","89.1","90.0","99.1","95.6","99.8","94.0","92.9","94.9","84.9","84.2","85.6"
